name,brand,price,availability,url
$80 Ooh La La 1oz Flower,Treasure Valley Cannabis Company,80,InStock,https://www.treasurevalleycannabis.com/product/80-ooh-la-la-36452-68af5525b13e640007b38995/
$80 Blueberry Muffin 1oz Flower,Grown Rogue,80,InStock,https://www.treasurevalleycannabis.com/product/80-blueberry-muffin-68ae2d4415728f0007390fe8/
Freshy 1g POG JUICE Flavored Live Resin Vape Cartridge 1g Vaporizers,FRESHY,20,InStock,https://www.treasurevalleycannabis.com/product/freshy-1g-pog-juice-flavored-live-resin-vape-cartridge-68acdbc5ae7e510007cd5024/
Disco Dabs 1g LEMON TART Shatter 1g Concentrates,Disco Dabs,10,InStock,https://www.treasurevalleycannabis.com/product/disco-dabs-1g-lemon-tart-shatter-68ad05f9d37371000775b23e/
Killa Beez 1g SOUR JOKER Pull N Snap 1g Concentrates,Killa Beez,12,InStock,https://www.treasurevalleycannabis.com/product/killa-beez-1g-sour-joker-pull-n-snap-68adfa714db66b00071f3109/
Disco Dabs 2g CAKE BOMB Shatter 2g Concentrates,Disco Dabs,18,InStock,https://www.treasurevalleycannabis.com/product/disco-dabs-2g-cake-bomb-shatter-68ad05f9d37371000775b241/
Higher Cultures 2g BREADSTIX Live Resin Budder 2g Concentrates,Higher Cultures,34,InStock,https://www.treasurevalleycannabis.com/product/higher-cultures-2g-breadstix-live-resin-budder-68adfa714db66b00071f3112/
Dr. Jolly&#8217;s 1g TURQUOISE LIVING Extract Jar 1g Concentrates,Dr. Jolly's,20,InStock,https://www.treasurevalleycannabis.com/product/dr-jolly-s-1g-turquoise-living-extract-jar-68ad05f9d37371000775b23b/
Killa Beez 1g RUDE GURL Pull N Snap 1g Concentrates,Killa Beez,12,InStock,https://www.treasurevalleycannabis.com/product/killa-beez-1g-rude-gurl-pull-n-snap-68adfa714db66b00071f310c/
$14 Purple Punch 2.0 1g Flower,Earl Baker,14,InStock,https://www.treasurevalleycannabis.com/product/14-purple-punch-2-0-68addeb3893f11000788dc32/
Killa Beez 1g HORCHATA Pull N Snap 1g Concentrates,Killa Beez,12,InStock,https://www.treasurevalleycannabis.com/product/killa-beez-1g-horchata-pull-n-snap-68adfa714db66b00071f310f/
Entourage Cannabis 2g COLLEGE CRUNCH BERRIES BHO Sugar Wax 2g Concentrates,Entourage Cannabis,25.2,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-2g-college-crunch-berries-bho-sugar-wax-68ab7c32ebf82200076dda77/
Knownot 1g AMARELO Diamonds Infused Pre Roll 1g Pre-rolls,Knownot Farms,6,InStock,https://www.treasurevalleycannabis.com/product/knownot-1g-amarelo-diamonds-infused-pre-roll-68ab9856ebf82200076e3a53/
Knownot 1g SOUR SAM x SHERB PIE Diamonds Infused Pre Roll 1g Pre-rolls,Knownot Farms,6,InStock,https://www.treasurevalleycannabis.com/product/knownot-1g-sour-sam-x-sherb-pie-diamonds-infused-pre-roll-68ab9856ebf82200076e3a5f/
Grown Rogue .5g MENDO BREATH/RAINBOW RUNTZ Pre Roll 10pk 5g Pre-rolls,Grown Rogue,12,InStock,https://www.treasurevalleycannabis.com/product/grown-rogue-5g-mendo-breath-rainbow-runtz-pre-roll-10pk-68abb474ebf82200076ea3d7/
Treasure Valley&#8217;s Finest! 1g CHEM CANDY Pre Roll 1g Pre-rolls,Treasure Valley's Finest! Pre Rolls,5,InStock,https://www.treasurevalleycannabis.com/product/treasure-valley-s-finest-1g-chem-candy-pre-roll-68ab8a4a1993440007875f80/
